AIGLE NOIR VIOGNIER 2013 750ml ,AROM-1_01,France>SouthFrance>SouthFrance>,Viognier_1/_/_,黑鹰牌维奥涅尔白葡萄酒,AIGLE NOIR VIOGNIER 2013 750ml ,White Wine,2013,13%,
"Dominio Del Plata, Crios de Susana Balbo  Torrontes",AROM-1_02,Argentina>Salta>,Torrontes_1/_/_,德米诺酒庄，西乐苏珊系列托龙特斯白,"Dominio Del Plata, Crios de Susana Balbo  Torrontes",White Wine,2014,14%,
"Yalumba Y Series Viognier, South Australia",AROM-1_03,Australia>SouthAustralia>,Viognier_1/_/_,御兰堡雅系列维安尼亚白葡萄酒,"Yalumba Y Series Viognier, South Australia",White Wine,2014,14%,0.9
Vins Sophora,AROM-1_04,NewZealand>,Gewurztraminer_0.8/_/_,槐梦园,Vins Sophora,White Wine,NV,13%,28
MV Muscatel 2015,AROM-1_05,Argentina>Mendoza>ValledeUco>,malbac_1/_/_,,MV Muscatel 2015,Red Wine, 2015,13%,
Fattoria Nittardi Ben,AROM-1_06,Italy>TOSCANA>ChiantiClassico>,Vermentino_1/_/_,尼塔帝酒庄繁星白葡萄酒,Fattoria Nittardi Ben,White Wine,2013,13%,
ElephantHill Le Phant Blanc,AROM-1_07,NewZealand>HawkesBay>,Viognier_0.6/PinotGris_0.31/Gewurztraminer_0.09,象山酒庄乐朋白葡萄酒,ElephantHill Le Phant Blanc,White Wine,2013,15%,
Laurent Miquel Verite Viognier,AROM-1_08,France>LanguedocRoussillon>,Viognier_1/_/_,劳伦米格尔珍酿真理维欧尼干白葡萄酒,Laurent Miquel Verite Viognier,White Wine,2012,14%,1.66
Domaine Martin Schaetzel Gewurtztraminer Cuvee Reserve,AROM-1_09,France>Alsace>,Gewurztraminer_1/_/_,马丁·诗泽庄园珍藏琼瑶浆甜白葡萄酒,Domaine Martin Schaetzel Gewurtztraminer Cuvee Reserve,White Wine,2012,14%,
"Benvenuto de la Serna Mil Piedras Viognier, Uco Valley Mendoza",AROM-1_10,Argentina>Mendoza>UcoValley>,Viognier_1/_/_,本托·赛纳 砾石系列维欧尼干白葡萄酒,"Benvenuto de la Serna Mil Piedras Viognier, Uco Valley Mendoza",White Wine,2008,12%,
"Argiolas, Costamolino, Vermentino di Sardegna, DOC",AROM-2_01,Italy>Sardegna>,Vermentino_1/_/_,阿吉拉斯酒庄，科斯塔莫白,"Argiolas, Costamolino, Vermentino di Sardegna, DOC",White Wine,2014,14%,
"Josmeyer, Gewurztraminer ""Les Folastries"", AOP",AROM-2_02,France>Alsace>,Gewurztraminer_1/_/_,"乔士迈庄园，""喜悦"" 琼瑶浆白","Josmeyer, Gewurztraminer ""Les Folastries"", AOP",White Wine,2011,14%,
LES MARQUISES BLANC,AROM-2_03,France>RhôneValley>Nimes>,Roussanne_0.9/Viognier_0.1/_,拉玛赫侯爵干白葡萄酒,LES MARQUISES BLANC,White Wine,2009,13%,
Trimbach Gewurztraminer AOC,AROM-2_04,France>Alsace>,Gewurztraminer_1/_/_,,Gewurztraminer AOC,White Wine,2012,,
"Hugel et Fils Gewurztraminer, Alsace AOC",AROM-2_05,France>Alsace>,Gewurztraminer_1/_/_,"雨果格乌香茗纳, 阿尔萨斯AOC","Hugel et Fils Gewurztraminer, Alsace AOC",White Wine,2012,14%,4.38
Grüner Veltliner Alte Setzen,AROM-2_06,Austria>Traisental>,GrünerVeltliner_1/_/_,,Grüner Veltliner Alte Setzen,White Wine,2013,14%,3.6
Vinoptima,AROM-2_07,NewZealand>Gisborne>,Gewurztraminer_1/_/_,维诺堤玛,Vinoptima,White Wine,2008,14%,20
MONTEORO,AROM-2_08,Italy>Sardinia>Gallura>,vermentino_1/_/_,蒙特罗干白葡萄酒,MONTEORO,White Wine,2012,14%,
Grüner Veltliner Berg,AROM-2_09,Austria>Traisental>,GrünerVeltliner_1/_/_,,Grüner Veltliner Berg,White Wine,2013,14%,3.8
